material_id,material_type,description,uom,lifecycle_status,lead_time_days,lot_size,safety_stock,reorder_point,standard_cost_usd,procurement_type,mrp_controller,hazmat_flag,country_of_origin,batch_tracking,created_date,last_changed_date
MAT00015,HIBE,Material description for MAT00015,PC,ACTIVE,11,10,17,86,4309.17,F,P172,N,IN,,2015-06-12,2024-09-26
MAT00016,ROH,Material description for MAT00016,PC,ACTIVE,86,50,61,16,3358.62,F,P196,Y,US,,2021-12-19,2024-07-30
MAT00017,ROH,Material description for MAT00017,L,ACTIVE,9,10,94,56,4168.81,X,P183,Y,,,2018-05-11,2024-11-10
MAT00018,ROH,Material description for MAT00018,EA,DISCONTINUED,20,50,72,91,1714.73,X,P133,N,CN,X,2016-01-14,2024-10-11
MAT00019,VERP,,L,OBSOLETE,34,10,189,90,2138.72,E,P188,N,IN,X,2019-02-21,2024-08-19
MAT00020,HIBE,Material description for MAT00020,L,ACTIVE,6,50,53,85,514.42,X,P152,N,DE,X,2023-12-21,2023-07-01
MAT00021,VERP,Material description for MAT00021,L,PROTOTYPE,86,10,68,89,540.92,E,P128,N,MX,,2018-06-04,2023-08-22
MAT00022,HALB,Material description for MAT00022,L,PROTOTYPE,,50,89,51,3397.75,X,P103,Y,CN,X,2021-07-06,2023-09-29
MAT00023,ROH,Material description for MAT00023,SET,ACTIVE,66,1,98,24,1273.99,X,P166,N,CN,,2015-10-14,2024-11-11
MAT00024,FERT,Material description for MAT00024,EA,ACTIVE,40,100,83,37,2772.29,E,P148,N,IN,,2018-05-17,2024-02-20
MAT00025,HIBE,Material description for MAT00025,KG,OBSOLETE,84,50,119,86,1068.9,F,P194,N,,X,2018-03-08,2024-06-11
MAT00026,HIBE,Material description for MAT00026,BOX,ACTIVE,26,10,6,,4919.69,X,P109,N,MX,,2021-06-15,2023-07-19
MAT00027,VERP,Material description for MAT00027,SET,ACTIVE,14,100,56,89,2590.03,E,P115,N,DE,,2022-06-27,2024-06-27
MAT00028,HIBE,Material description for MAT00028,M,ACTIVE,65,100,140,20,3718.41,F,P196,N,,,2023-08-03,2024-06-17
MAT00029,VERP,Material description for MAT00029,EA,ACTIVE,43,50,138,19,1156.69,X,P127,Y,MX,,2018-09-17,2024-07-09
MAT00030,VERP,Material description for MAT00030,M,ACTIVE,90,1,195,61,29.98,F,P149,N,IN,,2023-03-29,2024-07-13
MAT00031,HIBE,Material description for MAT00031,L,BLOCKED,,50,171,51,3621.04,F,P179,Y,MX,,2021-04-30,2024-11-09
MAT00032,ROH,Material description for MAT00032,BOX,ACTIVE,,100,83,41,1687.83,F,P153,N,US,,2015-03-21,2024-07-06
MAT00033,ROH,Material description for MAT00033,SET,DISCONTINUED,6,1,63,2,3106.87,E,P185,Y,IN,X,2020-03-19,2024-12-17
MAT00034,FERT,Material description for MAT00034,PC,OBSOLETE,21,50,27,39,2879.2,F,P191,N,US,,2022-09-29,2024-10-04
MAT00035,HALB,Material description for MAT00035,BOX,ACTIVE,73,1,88,84,1853.17,X,P101,N,MX,X,2019-11-11,2024-01-06
MAT00036,VERP,Material description for MAT00036,SET,ACTIVE,79,500,198,55,4128.76,X,P131,Y,CN,,2017-09-25,2024-04-20
MAT00037,HIBE,Material description for MAT00037,EA,ACTIVE,63,10,90,43,1398.65,X,P135,Y,IN,X,2015-12-17,2023-09-05
MAT00038,VERP,Material description for MAT00038,SET,ACTIVE,58,1,23,51,3459.09,F,P147,N,IN,,2018-11-09,2024-03-11
MAT00039,HIBE,Material description for MAT00039,L,ACTIVE,25,50,30,97,3450.97,E,P161,N,,,2023-07-11,2024-06-21
MAT00040,HIBE,Material description for MAT00040,KG,ACTIVE,39,1,181,35,228.06,E,P189,N,,,2016-02-25,2023-01-13
MAT00041,HIBE,Material description for MAT00041,L,ACTIVE,,100,29,51,2458.99,X,P106,N,DE,,2018-05-29,2023-03-29
MAT00042,HALB,Material description for MAT00042,PC,ACTIVE,67,100,115,38,4300.9,F,P179,Y,IN,,2016-02-11,2023-08-01
MAT00043,HALB,Material description for MAT00043,KG,ACTIVE,,1,104,76,2349.83,E,P190,N,,,2015-10-19,2024-12-04
MAT00044,HALB,Material description for MAT00044,SET,BLOCKED,26,100,29,82,745.37,F,P109,Y,DE,,2021-09-03,2024-08-05
MAT00045,FERT,Material description for MAT00045,L,ACTIVE,65,500,126,76,199.78,F,P177,N,US,X,2017-07-26,2024-11-21
MAT00046,HIBE,,BOX,ACTIVE,6,10,120,56,4580.41,E,P155,N,US,,2018-11-26,2024-02-23
MAT00047,FERT,Material description for MAT00047,KG,ACTIVE,37,100,194,58,440.75,F,P198,N,IN,X,2022-05-17,2024-07-09
MAT00048,VERP,Material description for MAT00048,L,ACTIVE,57,1,52,16,4638.4,F,P162,Y,US,,2021-10-29,2023-09-03
MAT00049,HALB,,M,ACTIVE,15,100,30,19,2492.13,X,P190,N,MX,,2020-04-18,2023-09-07
MAT00050,VERP,Material description for MAT00050,PC,ACTIVE,9,50,197,53,1699.71,X,P100,N,,,2021-08-01,2024-08-16
MAT00051,VERP,Material description for MAT00051,M,BLOCKED,70,100,116,24,4903.88,E,P129,N,US,,2023-05-09,2024-04-29
MAT00052,VERP,Material description for MAT00052,BOX,ACTIVE,5,10,128,42,4348.57,F,P158,Y,,X,2019-08-07,2024-11-01
MAT00053,HALB,Material description for MAT00053,L,ACTIVE,84,1,84,68,1900.36,F,P197,N,IN,X,2021-12-04,2023-03-12
MAT00054,HALB,Material description for MAT00054,KG,ACTIVE,13,1,113,38,4517.17,E,P107,N,CN,,2019-10-31,2023-05-30
MAT00055,HALB,Material description for MAT00055,BOX,ACTIVE,79,100,158,63,4564.19,E,P181,N,MX,,2022-06-24,2023-01-10
MAT00056,VERP,Material description for MAT00056,KG,BLOCKED,76,50,163,88,1250.87,F,P149,N,US,X,2019-04-12,2024-08-08
MAT00057,FERT,Material description for MAT00057,INVALID,ACTIVE,51,50,2,87,3891.67,E,P195,N,CN,X,2021-10-22,2023-12-27
MAT00058,HALB,Material description for MAT00058,SET,ACTIVE,88,10,160,80,3231.88,F,P104,N,,X,2016-01-05,2023-10-30
MAT00059,FERT,Material description for MAT00059,KG,ACTIVE,47,500,128,21,1285.22,F,P137,N,US,,2015-11-05,2023-05-25
MAT00060,HALB,Material description for MAT00060,M,BLOCKED,47,1,101,,2683.09,F,P195,N,IN,,2022-02-28,2024-01-16
MAT00061,ROH,Material description for MAT00061,PC,ACTIVE,79,10,165,59,4546.98,F,P114,N,US,X,2018-05-31,2024-05-19
MAT00062,ROH,Material description for MAT00062,KG,ACTIVE,90,500,107,93,773.04,F,P162,N,CN,X,2022-09-28,2024-01-15
MAT00063,HALB,Material description for MAT00063,BOX,ACTIVE,48,500,165,50,1379.77,E,P158,Y,,X,2022-03-13,2024-10-16
MAT00064,HIBE,Material description for MAT00064,L,DISCONTINUED,73,10,17,70,1036.18,E,P129,N,DE,,2015-01-12,2023-10-11
MAT00065,HALB,Material description for MAT00065,BOX,DISCONTINUED,4,10,3,100,1190.04,F,,N,US,X,2023-04-27,2024-03-07
MAT00066,HIBE,Material description for MAT00066,M,ACTIVE,14,100,128,78,217.3,X,P158,Y,US,,2019-07-04,2024-03-12
MAT00067,ROH,Material description for MAT00067,EA,ACTIVE,19,1,32,81,2927.03,X,P176,N,MX,,2021-10-15,2024-03-16
MAT00068,ROH,Material description for MAT00068,SET,OBSOLETE,28,100,115,52,1694.99,F,P193,Y,CN,,2018-07-04,2024-11-12
MAT00069,FERT,Material description for MAT00069,M,ACTIVE,12,100,24,47,4058.94,X,,N,,X,2019-08-10,2023-12-29
MAT00070,VERP,Material description for MAT00070,L,BLOCKED,74,500,54,61,1121.61,E,P171,N,US,,2021-06-09,2023-08-20
MAT00071,VERP,Material description for MAT00071,BOX,OBSOLETE,72,1,155,88,1337.6,E,P197,N,CN,,2015-01-26,2023-07-05
MAT00072,HALB,Material description for MAT00072,KG,ACTIVE,12,500,55,58,1704.81,F,P141,Y,US,X,2016-10-06,2024-09-24
MAT00073,ROH,Material description for MAT00073,SET,ACTIVE,54,50,55,14,1726.19,E,P186,N,IN,,2018-06-17,2023-02-16
MAT00074,HALB,Material description for MAT00074,EA,ACTIVE,18,50,74,0,2487.18,F,P148,N,IN,,2022-06-29,2023-12-29
MAT00075,ROH,Material description for MAT00075,INVALID,ACTIVE,41,500,109,90,3200.89,F,P102,N,DE,,2020-02-28,2024-12-07
MAT00076,FERT,Material description for MAT00076,KG,ACTIVE,11,100,79,28,1665.68,E,P181,Y,IN,,2017-03-05,2023-12-24
MAT00077,FERT,Material description for MAT00077,BOX,ACTIVE,33,10,44,97,3795.88,E,P198,N,MX,,2023-07-10,2024-08-16
MAT00078,VERP,Material description for MAT00078,SET,ACTIVE,81,50,38,60,2211.32,F,P175,Y,CN,,2015-10-31,2023-11-14
MAT00079,VERP,Material description for MAT00079,BOX,ACTIVE,12,500,152,59,2901.86,X,P157,N,CN,,2020-05-02,2024-05-28
MAT00080,HALB,Material description for MAT00080,BOX,DISCONTINUED,11,500,165,31,3538.25,F,P178,N,CN,,2018-03-04,2024-02-01
MAT00081,VERP,Material description for MAT00081,EA,OBSOLETE,9,50,24,49,1421.09,X,P177,N,CN,X,2021-07-14,2024-11-10
MAT00082,HALB,Material description for MAT00082,SET,BLOCKED,77,1,79,82,3958.41,E,P194,Y,,,2019-10-01,2024-06-04
MAT00083,FERT,Material description for MAT00083,KG,PROTOTYPE,25,10,35,37,4222.22,E,P169,Y,,,2023-08-05,2024-09-24
MAT00084,HALB,Material description for MAT00084,KG,ACTIVE,22,100,11,86,3598.07,F,P196,N,DE,,2017-09-06,2023-11-13
MAT00085,VERP,Material description for MAT00085,SET,BLOCKED,60,50,199,67,2093.59,E,P177,N,CN,X,2022-03-11,2024-05-07
MAT00086,FERT,Material description for MAT00086,BOX,ACTIVE,11,10,69,65,737.17,F,P128,N,CN,X,2019-08-27,2023-02-24
MAT00087,VERP,Material description for MAT00087,EA,ACTIVE,,1,182,18,688.43,F,P160,N,,,2020-01-12,2024-09-22
MAT00088,ROH,,KG,BLOCKED,78,500,108,36,1188.58,E,,N,,,2020-02-16,2023-03-06
MAT00089,ROH,Material description for MAT00089,INVALID,OBSOLETE,31,10,74,78,1764.4,X,P185,Y,IN,,2015-10-05,2024-06-22
MAT00090,HIBE,Material description for MAT00090,INVALID,ACTIVE,6,100,95,2,1785.79,E,P193,Y,IN,,2023-06-27,2023-12-07
MAT00091,HALB,Material description for MAT00091,BOX,PROTOTYPE,88,100,178,23,4057.58,E,P158,Y,CN,X,2015-06-29,2023-07-24
MAT00092,ROH,Material description for MAT00092,M,ACTIVE,33,1,192,36,1785.19,E,P142,N,US,,2019-11-25,2024-02-14
MAT00093,VERP,Material description for MAT00093,KG,BLOCKED,67,50,21,10,2153.32,E,P141,Y,US,,2022-05-31,2023-10-30
MAT00094,FERT,Material description for MAT00094,KG,ACTIVE,6,50,157,35,3197.53,E,P181,N,CN,,2023-12-26,2024-11-26
MAT00095,HALB,Material description for MAT00095,PC,DISCONTINUED,17,1,60,46,1811.07,X,,N,,,2019-02-28,2024-01-16
MAT00096,VERP,Material description for MAT00096,PC,OBSOLETE,36,10,29,,930.65,X,P171,Y,CN,,2022-11-23,2024-04-01
MAT00097,HALB,Material description for MAT00097,M,DISCONTINUED,10,100,44,56,4986.31,X,P140,N,,X,2021-03-02,2024-07-09
MAT00098,FERT,Material description for MAT00098,SET,BLOCKED,23,50,130,25,3960.43,E,P103,N,IN,,2019-02-20,2024-04-23
MAT00099,HIBE,Material description for MAT00099,EA,ACTIVE,62,500,105,73,369.22,F,P157,N,,,2018-11-12,2023-05-12
MAT00100,HIBE,Material description for MAT00100,KG,ACTIVE,8,1,132,21,810.25,X,P166,N,US,,2017-03-15,2024-10-12
MAT00101,HIBE,Material description for MAT00101,PC,ACTIVE,22,500,148,84,3122.58,X,P172,Y,US,X,2015-07-06,2024-10-18
MAT00102,HIBE,Material description for MAT00102,PC,ACTIVE,64,500,74,38,2414.98,X,P158,Y,,X,2016-10-09,2024-03-26
MAT00103,VERP,Material description for MAT00103,PC,ACTIVE,41,50,102,47,2575.14,E,P159,Y,CN,,2017-10-12,2023-05-25
MAT00104,ROH,Material description for MAT00104,BOX,ACTIVE,21,50,147,24,3815.73,F,P159,N,CN,,2015-04-05,2023-04-03
MAT00105,VERP,Material description for MAT00105,KG,ACTIVE,,50,126,83,3362.77,F,P113,N,DE,,2023-02-27,2024-01-10
MAT00106,VERP,Material description for MAT00106,PC,ACTIVE,37,1,98,97,2749.51,X,P115,N,US,,2019-03-09,2023-12-14
MAT00107,HIBE,Material description for MAT00107,KG,DISCONTINUED,6,1,9,42,4019.93,X,P177,N,CN,,2018-07-28,2023-06-16
MAT00108,VERP,Material description for MAT00108,L,DISCONTINUED,66,500,125,38,2374.73,E,P186,Y,MX,,2018-06-14,2024-12-05
MAT00109,ROH,Material description for MAT00109,SET,ACTIVE,74,10,184,,2402.5,X,P179,N,DE,,2017-09-19,2023-02-02
MAT00110,HIBE,Material description for MAT00110,EA,DISCONTINUED,53,10,105,78,4602.64,X,P190,N,IN,X,2021-04-16,2023-11-29
MAT00111,VERP,Material description for MAT00111,KG,ACTIVE,70,50,173,92,3403.89,X,P161,N,DE,,2021-04-04,2023-11-02
MAT00112,HALB,Material description for MAT00112,BOX,DISCONTINUED,63,50,122,92,1367.65,E,P169,N,MX,,2023-09-02,2023-05-30
MAT00113,FERT,Material description for MAT00113,EA,PROTOTYPE,33,100,54,68,1356.03,X,P117,Y,IN,,2021-07-31,2023-09-03
MAT00114,HALB,Material description for MAT00114,KG,ACTIVE,,100,84,12,3406.12,E,,N,MX,,2020-05-02,2024-05-03
MAT00115,HALB,Material description for MAT00115,L,OBSOLETE,12,500,59,92,4251.74,E,P122,N,DE,X,2019-06-15,2024-05-22
MAT00116,HALB,Material description for MAT00116,L,DISCONTINUED,,500,154,42,1423.17,X,P163,N,IN,,2018-01-22,2023-07-17
MAT00117,ROH,Material description for MAT00117,SET,ACTIVE,44,50,145,24,877.89,X,P154,N,US,,2022-07-04,2023-04-08
MAT00118,HALB,Material description for MAT00118,INVALID,DISCONTINUED,58,50,84,92,2864.6,F,P188,N,US,,2016-04-29,2024-04-21
MAT00119,FERT,Material description for MAT00119,SET,ACTIVE,82,50,94,28,4786.82,F,P195,N,MX,,2021-02-27,2024-04-27
MAT00120,HIBE,Material description for MAT00120,BOX,OBSOLETE,11,500,114,46,390.97,X,P170,N,IN,,2016-09-05,2023-06-18
MAT00121,FERT,Material description for MAT00121,SET,BLOCKED,12,500,114,58,660.16,F,P107,N,,,2023-02-10,2023-01-23
MAT00122,VERP,,KG,ACTIVE,,50,179,7,4672.95,E,P160,Y,CN,,2017-01-07,2023-05-19
MAT00123,VERP,Material description for MAT00123,M,ACTIVE,49,1,174,69,665.38,F,P168,N,IN,X,2023-03-01,2023-08-17
MAT00124,ROH,Material description for MAT00124,M,OBSOLETE,69,100,58,44,776.03,E,P192,Y,US,,2019-09-14,2024-09-21
MAT00125,ROH,Material description for MAT00125,INVALID,ACTIVE,7,10,189,,2195.09,X,P199,Y,DE,,2018-03-30,2023-08-28
MAT00126,HIBE,Material description for MAT00126,SET,ACTIVE,19,500,56,35,305.26,X,P122,N,IN,,2015-07-12,2023-12-19
MAT00127,VERP,Material description for MAT00127,M,OBSOLETE,24,500,121,28,1504.03,X,P159,Y,IN,,2019-09-03,2024-07-24
MAT00128,HIBE,Material description for MAT00128,KG,ACTIVE,,100,94,92,4147.12,E,P186,Y,US,X,2023-07-17,2024-08-24
MAT00129,HIBE,Material description for MAT00129,L,ACTIVE,28,10,189,96,2394.86,E,P190,N,MX,X,2021-03-11,2023-11-26
MAT00130,FERT,Material description for MAT00130,L,ACTIVE,64,100,25,92,2347.72,F,P147,N,MX,X,2021-04-23,2023-08-15
MAT00131,HALB,Material description for MAT00131,PC,PROTOTYPE,20,10,84,72,4166.9,F,P187,N,CN,,2023-02-11,2024-10-19
MAT00132,VERP,Material description for MAT00132,L,ACTIVE,63,10,138,7,2619.96,E,P185,Y,US,,2016-07-17,2024-10-07
MAT00133,HALB,Material description for MAT00133,KG,ACTIVE,80,500,123,2,33.56,X,P102,N,IN,,2015-03-12,2024-05-29
MAT00134,VERP,Material description for MAT00134,EA,OBSOLETE,31,10,158,45,1336.99,F,P151,N,IN,X,2022-10-26,2023-08-20
MAT00135,FERT,Material description for MAT00135,SET,ACTIVE,5,1,103,70,2380.29,X,,N,US,,2019-11-13,2024-10-22
MAT00136,FERT,Material description for MAT00136,EA,ACTIVE,30,10,177,60,1355.84,E,P135,Y,DE,,2015-03-06,2023-08-01
MAT00137,HIBE,Material description for MAT00137,BOX,ACTIVE,,10,144,49,3385.34,X,P196,N,,,2015-11-18,2024-05-27
MAT00138,FERT,Material description for MAT00138,BOX,ACTIVE,79,500,101,41,148.61,F,P157,N,DE,,2021-03-15,2024-01-20
MAT00139,VERP,Material description for MAT00139,M,ACTIVE,32,1,21,48,3558.53,X,P149,N,CN,X,2016-01-10,2023-01-06
MAT00140,FERT,Material description for MAT00140,EA,ACTIVE,58,500,142,13,131.8,F,P176,N,MX,X,2018-04-10,2024-02-28
MAT00141,VERP,Material description for MAT00141,PC,OBSOLETE,74,500,43,21,694.63,F,P118,Y,DE,,2018-02-04,2024-03-07
MAT00142,FERT,Material description for MAT00142,L,ACTIVE,64,500,157,13,677.88,E,P142,N,CN,,2018-10-03,2024-03-16
MAT00143,HIBE,Material description for MAT00143,SET,ACTIVE,51,50,74,81,2455.29,X,P141,N,CN,,2019-02-04,2023-04-27
MAT00144,HIBE,Material description for MAT00144,KG,ACTIVE,60,10,112,88,346.26,F,P117,N,DE,,2022-05-21,2023-06-07
MAT00145,VERP,Material description for MAT00145,PC,OBSOLETE,65,100,139,,4842.16,X,P168,Y,US,X,2022-05-17,2024-11-11
MAT00146,FERT,Material description for MAT00146,PC,ACTIVE,52,50,110,12,1294.06,X,P171,N,MX,,2019-05-22,2024-04-19
MAT00147,HIBE,Material description for MAT00147,EA,ACTIVE,11,1,186,39,1715.66,E,P144,N,US,,2023-02-05,2024-12-14
MAT00148,VERP,Material description for MAT00148,BOX,ACTIVE,,50,165,21,4649.65,X,P122,N,CN,,2019-10-13,2024-04-18
MAT00149,HALB,Material description for MAT00149,KG,OBSOLETE,4,500,50,54,1944.48,X,P135,Y,IN,X,2023-12-19,2024-07-03
MAT00150,HALB,Material description for MAT00150,EA,ACTIVE,68,50,152,50,2935.23,F,P158,N,,,2023-12-24,2023-11-01
MAT00151,HIBE,Material description for MAT00151,L,ACTIVE,24,50,177,49,2091.49,E,P154,N,MX,,2021-01-10,2024-12-11
MAT00152,HALB,Material description for MAT00152,KG,ACTIVE,80,1,91,62,683.11,F,P164,N,MX,,2020-07-07,2024-03-01
MAT00153,VERP,Material description for MAT00153,EA,ACTIVE,5,50,57,21,3903.81,X,P198,N,IN,,2016-04-08,2024-08-09
MAT00154,ROH,Material description for MAT00154,L,ACTIVE,57,500,55,13,3680.08,X,P138,Y,MX,,2018-11-28,2023-03-31
MAT00155,VERP,Material description for MAT00155,BOX,BLOCKED,76,50,181,54,830.33,E,P126,Y,IN,,2020-12-20,2023-10-15
MAT00156,HIBE,Material description for MAT00156,SET,ACTIVE,66,1,34,100,2058.28,E,P183,N,,X,2017-10-19,2023-05-30
MAT00157,FERT,Material description for MAT00157,SET,OBSOLETE,81,50,160,57,378.04,E,P195,N,,,2020-02-06,2024-05-14
MAT00158,FERT,Material description for MAT00158,BOX,ACTIVE,59,50,16,50,1089.54,F,P163,N,CN,,2018-10-15,2024-07-14
MAT00159,HIBE,Material description for MAT00159,BOX,ACTIVE,7,1,25,58,81.9,E,P100,N,DE,,2016-06-24,2024-10-27
MAT00160,FERT,Material description for MAT00160,L,ACTIVE,11,50,170,21,259.41,X,P189,N,MX,,2016-01-09,2024-12-21
MAT00161,ROH,Material description for MAT00161,KG,PROTOTYPE,57,1,2,15,4940.78,F,P161,Y,DE,,2016-01-01,2023-04-15
MAT00162,ROH,Material description for MAT00162,KG,ACTIVE,18,10,17,1,3051.79,E,P192,N,,,2016-09-12,2024-02-26
MAT00163,HIBE,Material description for MAT00163,EA,ACTIVE,16,500,186,54,1572.86,E,P182,Y,DE,,2021-09-27,2024-09-06
MAT00164,HIBE,Material description for MAT00164,EA,ACTIVE,39,10,132,24,3739.34,F,P130,N,MX,X,2017-09-14,2024-05-26
MAT00165,HIBE,Material description for MAT00165,EA,ACTIVE,17,100,145,69,3414.87,F,P198,Y,US,,2015-10-04,2023-01-15
MAT00166,FERT,Material description for MAT00166,BOX,ACTIVE,65,100,108,10,3202.87,X,P135,Y,CN,X,2020-09-25,2023-07-28
MAT00167,HALB,Material description for MAT00167,SET,ACTIVE,83,1,79,93,4767.16,E,,Y,MX,X,2020-02-01,2024-09-18
MAT00168,HIBE,Material description for MAT00168,SET,ACTIVE,18,1,41,44,2615.27,X,P147,N,,,2023-03-22,2023-05-01
MAT00169,ROH,Material description for MAT00169,PC,ACTIVE,74,1,127,46,277.67,X,P120,N,US,,2022-07-24,2023-04-29
MAT00170,HALB,,BOX,ACTIVE,61,50,98,22,4655.83,E,P191,N,DE,,2017-10-13,2024-03-02
MAT00171,FERT,Material description for MAT00171,L,ACTIVE,7,10,57,5,4770.42,E,P136,N,CN,X,2021-03-15,2024-04-12
MAT00172,ROH,Material description for MAT00172,BOX,ACTIVE,60,50,151,98,3879.54,X,P197,N,DE,X,2019-08-07,2023-01-25
MAT00173,HALB,Material description for MAT00173,SET,ACTIVE,1,100,188,13,1026.37,E,P107,N,,,2016-01-17,2023-02-14
MAT00174,HALB,Material description for MAT00174,SET,BLOCKED,11,500,24,81,4099.9,E,P107,N,,X,2017-08-27,2023-10-26
MAT00175,FERT,Material description for MAT00175,M,BLOCKED,41,100,69,25,680.99,X,P113,N,MX,,2018-07-10,2024-02-21
MAT00176,ROH,Material description for MAT00176,KG,ACTIVE,16,1,40,38,4132.02,X,P127,N,DE,X,2022-12-22,2023-09-12
MAT00177,FERT,,L,ACTIVE,4,100,115,70,1249.64,F,P117,Y,US,X,2023-10-04,2023-08-16
MAT00178,HALB,Material description for MAT00178,SET,ACTIVE,75,500,66,9,109.49,E,P182,N,DE,X,2018-09-20,2023-05-06
MAT00179,ROH,Material description for MAT00179,PC,DISCONTINUED,64,1,97,22,1770.04,E,P157,N,US,,2021-12-11,2024-09-23
MAT00180,HALB,Material description for MAT00180,PC,ACTIVE,50,10,107,67,1246.11,X,P148,N,MX,,2023-10-06,2024-05-11
MAT00181,FERT,Material description for MAT00181,M,BLOCKED,,500,56,,4053.54,F,,N,IN,,2023-08-07,2024-08-21
MAT00182,HALB,Material description for MAT00182,SET,DISCONTINUED,8,10,147,49,1774.35,E,P175,N,,,2019-01-09,2024-08-28
MAT00183,ROH,Material description for MAT00183,PC,ACTIVE,25,100,138,62,190.3,E,P128,Y,IN,,2015-01-03,2023-12-06
MAT00184,HIBE,Material description for MAT00184,SET,ACTIVE,42,1,5,90,4586.16,E,P146,Y,CN,,2022-06-05,2024-02-10
MAT00185,HIBE,Material description for MAT00185,KG,ACTIVE,56,100,166,90,4843.73,X,P178,N,DE,,2021-08-09,2023-06-29
MAT00186,VERP,Material description for MAT00186,KG,ACTIVE,,500,100,98,4825.94,E,P140,N,,,2016-03-02,2024-05-23
MAT00187,HALB,Material description for MAT00187,L,ACTIVE,12,50,114,,1048.82,X,,N,US,,2015-01-06,2023-02-19
MAT00188,VERP,Material description for MAT00188,KG,ACTIVE,49,50,139,61,3943.76,X,P187,N,DE,,2015-10-29,2023-02-04
MAT00189,FERT,Material description for MAT00189,EA,PROTOTYPE,49,10,187,11,1690.08,X,P190,Y,MX,,2016-11-06,2024-09-13
MAT00190,VERP,Material description for MAT00190,KG,ACTIVE,71,500,67,38,1188.12,E,P170,N,DE,X,2019-01-17,2023-01-04
MAT00191,VERP,Material description for MAT00191,SET,ACTIVE,4,10,43,10,2368.12,E,P150,N,MX,,2017-12-21,2023-04-04
MAT00192,HIBE,Material description for MAT00192,M,ACTIVE,34,100,119,34,2821.45,E,P185,Y,US,,2018-11-09,2024-07-08
MAT00193,VERP,Material description for MAT00193,PC,DISCONTINUED,67,100,137,60,2863.79,E,P110,N,,X,2020-08-18,2024-08-07
MAT00194,HIBE,Material description for MAT00194,PC,OBSOLETE,58,10,42,24,631.37,F,P187,N,DE,,2016-08-28,2024-09-01
MAT00195,FERT,Material description for MAT00195,BOX,ACTIVE,51,500,83,66,2291.06,E,P179,N,US,,2016-09-04,2023-06-01
MAT00196,HIBE,Material description for MAT00196,EA,ACTIVE,13,50,137,52,1321.05,X,P177,N,US,X,2018-02-02,2024-02-17
MAT00197,HALB,Material description for MAT00197,INVALID,ACTIVE,43,10,12,34,4485.21,E,P138,N,CN,,2022-10-22,2024-12-02
MAT00198,ROH,Material description for MAT00198,L,DISCONTINUED,42,50,186,82,446.89,F,P152,N,IN,,2015-08-19,2024-06-11
MAT00199,HALB,Material description for MAT00199,M,ACTIVE,73,1,44,25,4184.96,E,,Y,CN,,2017-03-26,2023-10-08
MAT00200,FERT,Material description for MAT00200,SET,OBSOLETE,31,50,125,22,4802.62,F,P144,N,DE,,2023-05-26,2024-12-06
